7zip	25.01+dfsg-1~deb13u1
libpcre2-posix3:amd64	10.46-1~deb13u1
libperl5.40:amd64	5.40.1-6
libpfm4:amd64	4.13.0+git99-gc5587f9-1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1+b1
libpipeline1:amd64	1.5.8-1
libpixman-1-0:amd64	0.44.0-3
libpixman-1-0:i386	0.44.0-3
libpkgconf3:amd64	1.8.1-4
libplacebo349:amd64	7.349.0-3
libpng-dev:amd64	1.6.48-1
libpng-tools	1.6.48-1
libpng16-16t64:amd64	1.6.48-1
libpng16-16t64:i386	1.6.48-1
libpocketsphinx3:amd64	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0:amd64	126-2
libpolkit-gobject-1-0:amd64	126-2
libpopt0:amd64	1.19+dfsg-2
libpostproc58:amd64	7:7.1.2-0+deb13u1
libpq-dev	17.6-0+deb13u1
libpq5:amd64	17.6-0+deb13u1
libproc2-0:amd64	2:4.0.4-9
libprometheus-cpp-core1.0:amd64	1.0.2-2+b3
libprometheus-cpp-pull1.0:amd64	1.0.2-2+b3
libprotobuf-c1:amd64	1.5.1-1
libpsl5t64:amd64	0.21.2-1.1+b1
libpsl5t64:i386	0.21.2-1.1+b1
libpulse0:amd64	17.0+dfsg1-2+b1
libpulse0:i386	17.0+dfsg1-2+b1
libpython3-dev:amd64	3.13.5-1
libpython3-stdlib:amd64	3.13.5-1
libpython3.11-minimal:amd64	3.11.2-6+deb12u6
libpython3.13-dev:amd64	3.13.5-2
libpython3.13-minimal:amd64	3.13.5-2
libpython3.13-stdlib:amd64	3.13.5-2
libpython3.13:amd64	3.13.5-2
libquadmath0:amd64	14.2.0-19
librabbitmq4:amd64	0.15.0-1
libraqm0:amd64	0.10.2-1
librav1e-dev:amd64	0.7.1-9+b2
librav1e0.7:amd64	0.7.1-9+b2
libraw1394-11:amd64	2.1.2-2+b2
libraw23t64:amd64	0.21.4-2
libreadline8t64:amd64	8.2-6
libregexp-ipv6-perl	0.03-3
librhash1:amd64	1.4.5-1
librist4:amd64	0.2.11+dfsg-1
librsvg2-2:amd64	2.60.0+dfsg-1
librsvg2-common:amd64	2.60.0+dfsg-1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
librtmp1:i386	2.4+20151223.gitfa8646d.1-2+b5
librubberband2:amd64	3.3.0+dfsg-2+b3
libsamplerate0:amd64	0.2.2-4+b2
libsamplerate0:i386	0.2.2-4+b2
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-2:i386	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:i386	2.1.28+dfsg1-9
libsasl2-modules:amd64	2.1.28+dfsg1-9
libsasl2-modules:i386	2.1.28+dfsg1-9
libsctp1:amd64	1.0.21+dfsg-1
libsdl2-2.0-0:amd64	2.32.4+dfsg-1
libsdl2-2.0-0:i386	2.32.4+dfsg-1
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libselinux1:i386	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5:amd64	1:3.6.2-2
libsensors5:i386	1:3.6.2-2
libsepol2:amd64	3.8.1-1
libserd-0-0:amd64	0.32.4-1
libsframe1:amd64	2.44-3
libsharpyuv-dev:amd64	1.5.0-0.1
libsharpyuv0:amd64	1.5.0-0.1
libshine3:amd64	3.1.1-2+b2
libsigsegv2:amd64	2.14-1+b2
libslang2:amd64	2.3.3-5+b2
libsm6:amd64	2:1.2.6-1
libsmartcols1:amd64	2.41-5
libsnappy-dev:amd64	1.2.2-1
libsnappy1v5:amd64	1.2.2-1
libsndfile1:amd64	1.2.2-2+b1
libsndfile1:i386	1.2.2-2+b1
libsndio7.0:amd64	1.10.0-0.1
libsodium23:amd64	1.0.18-1+b2
libsord-0-0:amd64	0.16.18-1
libsoxr0:amd64	0.1.3-4+b2
libspatialindex8:amd64	2.1.0-1
libspectre1:amd64	0.2.12-1+b2
libspeex1:amd64	1.2.1-3
libsphinxbase3t64:amd64	0.8+5prealpha+1-21+b1
libsqlite3-0:amd64	3.46.1-7
libsqlite3-dev:amd64	3.46.1-7
libsratom-0-0:amd64	0.6.18-1
libsrt1.5-gnutls:amd64	1.5.4-1
libss2:amd64	1.47.2-3+b3
libssh-4:amd64	0.11.2-1+deb13u1
libssh2-1t64:amd64	1.11.1-1
libssh2-1t64:i386	1.11.1-1
libssl-dev:amd64	3.5.4-1~deb13u1
libssl3t64:amd64	3.5.4-1~deb13u1
libssl3t64:i386	3.5.4-1~deb13u1
libstd-rust-1.85:amd64	1.85.0+dfsg3-1
libstd-rust-dev:amd64	1.85.0+dfsg3-1
libstdc++-12-dev:amd64	12.4.0-5
libstdc++-14-dev:amd64	14.2.0-19
libstdc++6:amd64	14.2.0-19
libstdc++6:i386	14.2.0-19
libstemmer0d:amd64	2.2.0-4+b2
libsvtav1enc-dev:amd64	2.3.0+dfsg-1
libsvtav1enc2:amd64	2.3.0+dfsg-1
libswresample5:amd64	7:7.1.2-0+deb13u1
libswscale8:amd64	7:7.1.2-0+deb13u1
libsystemd-shared:amd64	257.9-1~deb13u1
libsystemd0:amd64	257.9-1~deb13u1
libsystemd0:i386	257.9-1~deb13u1
libtasn1-6:amd64	4.20.0-2
libtasn1-6:i386	4.20.0-2
libtdb1:amd64	2:1.4.13+samba4.22.6+dfsg-0+deb13u1
libterm-readkey-perl	2.38-2+b4
libtext-charwidth-perl:amd64	0.04-11+b4
libtext-iconv-perl:amd64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2
libthai0:amd64	0.1.29-2+b1
libthai0:i386	0.1.29-2+b1
libtheoradec1:amd64	1.2.0~alpha1+dfsg-6
libtheoraenc1:amd64	1.2.0~alpha1+dfsg-6
libtiff-dev:amd64	4.7.0-3+deb13u1
libtiff6:amd64	4.7.0-3+deb13u1
libtiffxx6:amd64	4.7.0-3+deb13u1
libtimedate-perl	2.3300-2
libtinfo5:i386	6.4-4
libtinfo6:amd64	6.5+20250216-2
libtinfo6:i386	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:amd64	1.3.6+ds-1
libtsan2:amd64	14.2.0-19
libtwolame0:amd64	0.4.0-2+b2
libubsan1:amd64	14.2.0-19
libuchardet0:amd64	0.0.8-1+b2
libudev1:amd64	257.9-1~deb13u1
libudfread0:amd64	1.1.2-1+b2
libunbound8:amd64	1.22.0-2+deb13u1
libunibreak6:amd64	6.1-3
libunistring2:amd64	1.0-2
libunistring5:amd64	1.3-2
libunistring5:i386	1.3-2
liburcu8t64:amd64	0.15.2-2
liburi-perl	5.30-1
liburing2:amd64	2.9-1
libusb-1.0-0:amd64	2:1.0.28-1
libuuid1:amd64	2.41-5
libuv1t64:amd64	1.50.0-2
libva-drm2:amd64	2.22.0-3
libva-x11-2:amd64	2.22.0-3
libva2:amd64	2.22.0-3
libvdpau-va-gl1:amd64	0.4.2-2
libvdpau1:amd64	1.5-3+b1
libvidstab1.1:amd64	1.1.0-2+b2
libvorbis0a:amd64	1.3.7-3
libvorbis0a:i386	1.3.7-3
libvorbisenc2:amd64	1.3.7-3
libvorbisenc2:i386	1.3.7-3
libvorbisfile3:amd64	1.3.7-3
libvpl2	1:2.14.0-1+b1
libvpx-dev:amd64	1.15.0-2.1
libvpx9:amd64	1.15.0-2.1
libvulkan1:amd64	1.4.309.0-1
libwavpack1:amd64	5.8.1-1
libwayland-client0:amd64	1.23.1-3
libwayland-client0:i386	1.23.1-3
libwayland-cursor0:amd64	1.23.1-3
libwayland-cursor0:i386	1.23.1-3
libwayland-egl1:amd64	1.23.1-3
libwayland-egl1:i386	1.23.1-3
libwayland-server0:amd64	1.23.1-3
libwayland-server0:i386	1.23.1-3
libwebp-dev:amd64	1.5.0-0.1
libwebp7:amd64	1.5.0-0.1
libwebpdecoder3:amd64	1.5.0-0.1
libwebpdemux2:amd64	1.5.0-0.1
libwebpmux3:amd64	1.5.0-0.1
libwmflite-0.2-7:amd64	0.2.13-1.1+b3
libwrap0:amd64	7.6.q-36
libwtmpdb0:amd64	0.73.0-3+deb13u1
libx11-6:amd64	2:1.8.12-1
libx11-6:i386	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-dev:amd64	2:1.8.12-1
libx11-xcb1:amd64	2:1.8.12-1
libx11-xcb1:i386	2:1.8.12-1
libx264-164:amd64	2:0.164.3108+git31e19f9-2+b1
libx265-215:amd64	4.1-2
libx32asan8	14.2.0-19
libx32atomic1	14.2.0-19
libx32gcc-12-dev	12.4.0-5
libx32gcc-14-dev	14.2.0-19
libx32gcc-s1	14.2.0-19
libx32gomp1	14.2.0-19
libx32itm1	14.2.0-19
libx32quadmath0	14.2.0-19
libx32stdc++-14-dev	14.2.0-19
libx32stdc++6	14.2.0-19
libx32ubsan1	14.2.0-19
libxau-dev:amd64	1:1.0.11-1
libxau6:amd64	1:1.0.11-1
libxau6:i386	1:1.0.11-1
libxaw7:amd64	2:1.0.16-1
libxcb-dri3-0:amd64	1.17.0-2+b1
libxcb-dri3-0:i386	1.17.0-2+b1
libxcb-glx0:amd64	1.17.0-2+b1
libxcb-present0:amd64	1.17.0-2+b1
libxcb-present0:i386	1.17.0-2+b1
libxcb-randr0:amd64	1.17.0-2+b1
libxcb-randr0:i386	1.17.0-2+b1
libxcb-render0:amd64	1.17.0-2+b1
libxcb-render0:i386	1.17.0-2+b1
libxcb-shape0:amd64	1.17.0-2+b1
libxcb-shm0:amd64	1.17.0-2+b1
libxcb-shm0:i386	1.17.0-2+b1
libxcb-sync1:amd64	1.17.0-2+b1
libxcb-sync1:i386	1.17.0-2+b1
libxcb-xfixes0:amd64	1.17.0-2+b1
libxcb-xfixes0:i386	1.17.0-2+b1
libxcb1-dev:amd64	1.17.0-2+b1
libxcb1:amd64	1.17.0-2+b1
libxcb1:i386	1.17.0-2+b1
libxcomposite1:amd64	1:0.4.6-1
libxcursor1:amd64	1:1.2.3-1
libxcursor1:i386	1:1.2.3-1
libxdmcp-dev:amd64	1:1.1.5-1
libxdmcp6:amd64	1:1.1.5-1
libxdmcp6:i386	1:1.1.5-1
libxdp1:amd64	1.5.4-1
libxext6:amd64	2:1.3.4-1+b3
libxext6:i386	2:1.3.4-1+b3
libxfixes3:amd64	1:6.0.0-2+b4
libxfixes3:i386	1:6.0.0-2+b4
libxi6:amd64	2:1.8.2-1
libxi6:i386	2:1.8.2-1
libxinerama1:amd64	2:1.1.4-3+b4
libxkbcommon0:amd64	1.7.0-2
libxkbcommon0:i386	1.7.0-2
libxml2-dev:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxml2:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxml2:i386	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmlb2:amd64	0.3.22-1
libxmu6:amd64	2:1.1.3-3+b4
libxmuu1:amd64	2:1.1.3-3+b4
libxpm-dev:amd64	1:3.5.17-1+b3
libxpm4:amd64	1:3.5.17-1+b3
libxrandr2:amd64	2:1.5.4-1+b3
libxrandr2:i386	2:1.5.4-1+b3
libxrender1:amd64	1:0.9.12-1
libxrender1:i386	1:0.9.12-1
libxshmfence1:amd64	1.3.3-1
libxshmfence1:i386	1.3.3-1
libxslt1.1:amd64	1.1.35-1.2+deb13u2
libxss1:amd64	1:1.2.3-1+b3
libxss1:i386	1:1.2.3-1+b3
libxt6t64:amd64	1:1.2.1-1.2+b2
libxtables12:amd64	1.8.11-2
libxv1:amd64	2:1.0.11-1.1+b3
libxvidcore4:amd64	2:1.3.7-1+b2
libxxf86vm1:amd64	1:1.1.4-1+b4
libxxhash0:amd64	0.8.3-2
libxxhash0:i386	0.8.3-2
libyaml-0-2:amd64	0.2.5-2
libyuv-dev:amd64	0.0.1904.20250204-1
libyuv0:amd64	0.0.1904.20250204-1
libz3-4:amd64	4.13.3-1
libz3-4:i386	4.13.3-1
libz3-dev:amd64	4.13.3-1
libzimg2:amd64	3.0.5+ds1-1+b2
libzip5:amd64	1.11.3-2
libzix-0-0:amd64	0.6.2-1
libzmq5:amd64	4.3.5-1+b3
libzstd-dev:amd64	1.5.7+dfsg-1
libzstd1:amd64	1.5.7+dfsg-1
libzstd1:i386	1.5.7+dfsg-1
libzvbi-common	0.2.44-1
libzvbi0t64:amd64	0.2.44-1
linux-base	4.12
linux-compiler-gcc-12-x86	6.1.158-1
linux-headers-6.1.0-35-amd64	6.1.137-1
linux-headers-6.1.0-35-common	6.1.137-1
linux-image-6.1.0-35-amd64	6.1.137-1
linux-image-6.1.0-37-amd64	6.1.140-1
linux-image-6.1.0-39-amd64	6.1.148-1
linux-image-6.1.0-40-amd64	6.1.153-1
linux-image-6.1.0-41-amd64	6.1.158-1
linux-image-6.12.57+deb13-amd64	6.12.57-1
linux-image-amd64	6.12.57-1
linux-kbuild-6.1	6.1.158-1
linux-libc-dev	6.12.57-1
linux-sysctl-defaults	4.12
lld-19	1:19.1.7-3+b1
lld:amd64	1:19.0-63
llvm	1:19.0-63
llvm-14	1:14.0.6-12
llvm-14-dev	1:14.0.6-12
llvm-14-linker-tools	1:14.0.6-12
llvm-14-runtime	1:14.0.6-12
llvm-14-tools	1:14.0.6-12
llvm-19	1:19.1.7-3+b1
llvm-19-dev	1:19.1.7-3+b1
llvm-19-linker-tools	1:19.1.7-3+b1
llvm-19-runtime	1:19.1.7-3+b1
llvm-19-tools	1:19.1.7-3+b1
llvm-runtime:amd64	1:19.0-63
locales	2.41-12+deb13u1
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logrotate	3.22.0-1
logsave	1.47.2-3+b3
lsb-release	12.1-1
lsof	4.99.4+dfsg-2
luajit	2.1.0+openresty20250117-2
luanti-data	5.10.0+dfsg-5
luanti-game-minetest	5.8.0.40.gc7be7c1-3
luanti-server	5.10.0+dfsg-5
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mariadb-client	1:11.8.3-0+deb13u1
mariadb-client-core	1:11.8.3-0+deb13u1
mariadb-common	1:11.8.3-0+deb13u1
mariadb-plugin-provider-bzip2	1:11.8.3-0+deb13u1
mariadb-plugin-provider-lz4	1:11.8.3-0+deb13u1
mariadb-plugin-provider-lzma	1:11.8.3-0+deb13u1
mariadb-plugin-provider-lzo	1:11.8.3-0+deb13u1
mariadb-plugin-provider-snappy	1:11.8.3-0+deb13u1
mariadb-server	1:11.8.3-0+deb13u1
mariadb-server-core	1:11.8.3-0+deb13u1
mawk	1.3.4.20250131-1
media-types	13.0.0
mesa-libgallium:amd64	25.0.7-2
mesa-libgallium:i386	25.0.7-2
mesa-va-drivers:amd64	25.0.7-2
mesa-vdpau-drivers:amd64	25.0.7-2
mesa-vulkan-drivers:amd64	25.0.7-2
mingw-w64	12.0.0-5
mingw-w64-common	12.0.0-5
mingw-w64-i686-dev	12.0.0-5
mingw-w64-x86-64-dev	12.0.0-5
mount	2.41-5
mtr-tiny	0.95-1.1+b1
mysql-common	5.8+1.1.1
nano	8.4-1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
netbase	6.5
netcat-traditional	1.10-50
netpbm	2:11.10.02-1
nftables	1.1.3-1
ninja-build	1.12.1-1
nodejs	22.21.0-1nodesource1
nss-plugin-pem:amd64	1.1.0+1-1+b1
ocl-icd-libopencl1:amd64	2.3.3-1
openssh-client	1:10.0p1-7
openssh-server	1:10.0p1-7
openssh-sftp-server	1:10.0p1-7
openssl	3.5.4-1~deb13u1
openssl-provider-legacy	3.5.4-1~deb13u1
os-prober	1.83
p7zip-full	16.02+transitional.1
packagekit	1.3.1-1
packagekit-tools	1.3.1-1
passwd	1:4.17.4-2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
php	2:8.4+96
php-cli	2:8.4+96
php-common	2:96
php-curl	2:8.4+96
php-fpm	2:8.4+96
php-gd	2:8.4+96
php-intl	2:8.4+96
php-mbstring	2:8.4+96
php-mysql	2:8.4+96
php-readline	2:8.4+96
php-redis	6.2.0-1
php-sqlite3	2:8.4+96
php-xml	2:8.4+96
php-zip	2:8.4+96
php8.4	8.4.11-1
php8.4-cli	8.4.11-1
php8.4-common	8.4.11-1
php8.4-curl	8.4.11-1
php8.4-fpm	8.4.11-1
php8.4-gd	8.4.11-1
php8.4-igbinary	3.2.16-4
php8.4-intl	8.4.11-1
php8.4-mbstring	8.4.11-1
php8.4-mysql	8.4.11-1
php8.4-opcache	8.4.11-1
php8.4-readline	8.4.11-1
php8.4-redis	6.2.0-1
php8.4-sqlite3	8.4.11-1
php8.4-xml	8.4.11-1
php8.4-zip	8.4.11-1
pinentry-curses	1.3.1-2
pkg-config:amd64	1.8.1-4
pkgconf-bin	1.8.1-4
pkgconf:amd64	1.8.1-4
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	126-2
poppler-data	0.4.12-1
powermgmt-base	1.38
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
pv	1.9.31-1
python-apt-common	3.0.0
python-babel-localedata	2.17.0-1
python3	3.13.5-1
python3-acme	4.0.0-1
python3-apt	3.0.0
python3-arrow	1.3.0-1.1
python3-attr	25.3.0-1
python3-augeas	1.2.0-1
python3-autocommand	2.2.2-3
python3-babel	2.17.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-bpfcc	0.31.0+ds-7
python3-certbot	4.0.0-2
python3-certbot-apache	4.0.0-2
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:amd64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-configargparse	1.7-2
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3
python3-dateutil	2.9.0-4
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-debian	1.0.1
python3-debianbts	4.1.1
python3-dev	3.13.5-1
python3-distro	1.9.0-1
python3-fqdn	1.5.1-2
python3-gi	3.50.0-4+b1
python3-httplib2	0.22.0-1
python3-icu	2.14-1+b3
python3-idna	3.10-1
python3-inflect	7.3.1-2
python3-isoduration	20.11.0+git20211126.ae0bd61-2
python3-jaraco.context	6.0.1-1
python3-jaraco.functools	4.1.0-1
python3-jaraco.text	4.0.0-1
python3-jinja2	3.1.6-1
python3-josepy	2.0.0-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2
python3-lazr.restfulclient	0.14.6-3
python3-lazr.uri	1.0.6-6
python3-markupsafe	2.1.5-1+b3
python3-minimal	3.13.5-1
python3-more-itertools	10.7.0-1
python3-mutagen	1.47.0-1
python3-netaddr	1.3.0-1
python3-netifaces:amd64	0.11.0-2+b6
python3-oauthlib	3.2.2-3
python3-olefile	0.47-1
python3-openssl	25.0.0-1
python3-packaging	25.0-1
python3-parsedatetime	2.6-3
python3-pil:amd64	11.1.0-5+b1
python3-pip	25.1.1+dfsg-1
python3-pip-whl	25.1.1+dfsg-1
python3-pkg-resources	78.1.1-0.1
python3-pycryptodome	3.20.0+dfsg-3
python3-pygments	2.18.0+dfsg-2
python3-pyparsing	3.1.2-1
python3-pytz	2025.2-3
python3-referencing	0.36.2-1
python3-reportbug	13.2.0
python3-requests	2.32.3+dfsg-5
python3-rfc3339	2.0.1-1
python3-rfc3339-validator	0.1.4-2
python3-rfc3986-validator	0.1.1-2
python3-rfc3987	1.3.8-3
python3-rpds-py	0.21.0-2+b1
python3-serial	3.5-2
python3-setuptools	78.1.1-0.1
python3-setuptools-whl	78.1.1-0.1
python3-software-properties	0.99.30-4.1~deb12u1
python3-typeguard	4.4.2-1
python3-typeshed	0.0~git20241223.ea91db2-1
python3-typing-extensions	4.13.2-1
python3-uritemplate	4.1.1-3
python3-urllib3	2.3.0-3
python3-venv	3.13.5-1
python3-wadllib	2.0.0-3
python3-webcolors	1.13-1
python3-websockets	15.0.1-1
python3-wheel	0.46.1-2
python3-yaml	6.0.2-1+b2
python3-zipp	3.21.0-1
python3.11-minimal	3.11.2-6+deb12u6
python3.11-venv	3.11.2-6+deb12u6
python3.13	3.13.5-2
python3.13-dev	3.13.5-2
python3.13-minimal	3.13.5-2
python3.13-venv	3.13.5-2
readline-common	8.2-6
redis-server	5:8.0.2-3+deb13u1
redis-tools	5:8.0.2-3+deb13u1
reportbug	13.2.0
rpcsvc-proto	1.4.3-1
rsync	3.4.1+ds1-5
runit-helper	2.16.4
rust-llvm	1.85.0+dfsg3-1
rustc	1.85.0+dfsg3-1
screen	4.9.1-3
screenfetch	3.9.1+20210523-2
scrot	1.12.1-1
sed	4.9-2
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
socat	1.8.0.3-1
software-properties-common	0.99.30-4.1~deb12u1
sqlite3	3.46.1-7
squid	6.13-2+deb13u1
squid-common	6.13-2+deb13u1
squid-langpack	20220130-1
sqv	1.3.0-3
ssl-cert	1.1.3
sudo	1.9.16p2-3
sysstat	12.7.5-2
systemd	257.9-1~deb13u1
systemd-cryptsetup	257.9-1~deb13u1
systemd-sysv	257.9-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
task-english	3.81
tasksel	3.81
tasksel-data	3.81
tcpdump	4.99.5-2
telnet	0.17+2.6-3
traceroute	1:2.1.6-1
tzdata	2025b-4+deb13u1
tzdata-legacy	2025b-4+deb13u1
ucf	3.0052
udev	257.9-1~deb13u1
unar	1.10.8+ds1-9
unrar	1:7.1.8-1
unzip	6.0-29
usr-is-merged	39+nmu2
util-linux	2.41-5
util-linux-extra	2.41-5
util-linux-locales	2.41-5
uuid-dev:amd64	2.41-5
va-driver-all:amd64	2.22.0-3
vdpau-driver-all:amd64	1.5-3+b1
vim	2:9.1.1230-2
vim-common	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
wamerican	2020.12.07-4
wget	1.25.0-2
whiptail	0.52.25-1
whois	5.6.3
x11-common	1:7.7+24+deb13u1
x11proto-dev	2024.1-1
xauth	1:1.1.2-1.1
xdg-user-dirs	0.18-2
xdp-tools	1.5.4-1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7
xkb-data	2.42-1
xml-core	0.19
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
xz-utils	5.8.1-1
yt-dlp	2025.04.30-1
zip	3.0-15
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g:i386	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
