7zip	25.01+dfsg-1~deb13u1
gnustep-base-common	1.31.1-3
gnustep-base-runtime	1.31.1-3
gnustep-common	2.9.3-6
gnustep-multiarch:amd64	2.9.3-6
gnutls-bin	3.8.9-3
goaccess	1:1.9.3-1
gpg	2.4.7-21+b3
gpg-agent	2.4.7-21+b3
gpg-wks-client	2.4.7-21+b3
gpg-wks-server	2.4.7-21+b3
gpgconf	2.4.7-21+b3
gpgsm	2.4.7-21+b3
gpgv	2.4.7-21+b3
graphviz	2.42.4-3
grep	3.11-4
groff-base	1.23.0-9
grub-common	2.12-9
grub-pc	2.12-9
grub-pc-bin	2.12-9
grub2-common	2.12-9
gsfonts	2:20200910-8
gzip	1.13-1
haproxy	3.0.11-1+deb13u1
haveged	1.9.19-12
hdparm	9.65+ds-1.1
hicolor-icon-theme	0.18-2
hostname	3.25
i965-va-driver:amd64	2.4.1+dfsg1-2
iamerican	3.4.06-1
ibritish	3.4.06-1
ieee-data	20240722
ienglish-common	3.4.06-1
ifupdown	0.8.44
imagemagick	8:7.1.1.43+dfsg1-1+deb13u3
imagemagick-6-common	8:6.9.11.60+dfsg-1.6+deb12u4
imagemagick-7-common	8:7.1.1.43+dfsg1-1+deb13u3
imagemagick-7.q16	8:7.1.1.43+dfsg1-1+deb13u3
inetutils-telnet	2:2.6-3
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.3
initramfs-tools-bin	0.148.3
initramfs-tools-core	0.148.3
intel-media-va-driver:amd64	25.2.3+dfsg1-1
iotop	0.6-42-ga14256a-0.3+b1
iproute2	6.15.0-1
iputils-ping	3:20240905-3
isc-dhcp-client	4.4.3-P1-8
isc-dhcp-common	4.4.3-P1-8
iso-codes	4.18.0-1
ispell	3.4.06-1
javascript-common	12+nmu1
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
klibc-utils	2.0.14-1
kmod	34.2-2
krb5-locales	1.21.3-5
less	668-1
lib32asan8	14.2.0-19
lib32atomic1	14.2.0-19
lib32gcc-12-dev	12.4.0-5
lib32gcc-14-dev	14.2.0-19
lib32gcc-s1	14.2.0-19
lib32gomp1	14.2.0-19
lib32itm1	14.2.0-19
lib32quadmath0	14.2.0-19
lib32stdc++-14-dev	14.2.0-19
lib32stdc++6	14.2.0-19
lib32ubsan1	14.2.0-19
lib32z1	1:1.3.dfsg+really1.3.1-1+b1
libaacs0:amd64	0.11.1-4+b1
libabsl20240722:amd64	20240722.0-4
libacl1:amd64	2.3.2-2+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libann0	1.1.2+doc-9+b1
libaom-dev:amd64	3.12.1-1
